Rang,Etablissement,Commune,Note,Filière,Texte
45,Saint-Stanislas,Nantes,"11,6",MP,"Cet établissement privé a présenté 40 candidats en MP en 2023. Leur moyenne au bac est estimée à 15,5 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Télécom Paris : 1
	- Ensae : 1
	- Centrale Nantes : 2
	- Ecole centrale de Lille : 1
	- IMT Atlantique : 1
	- Ensimag : 1
	- Phelma : 2
	- Arts et Métiers : 1
	- Ensta Bretagne : 1
	- Centrale Méditerranée : 1
	- Ecole Navale : 1"
45,Victor Grignard,Cherbourg-en-Cotentin,"11,6",MP,"Cet établissement public a présenté 40 candidats en MP en 2023. Leur moyenne au bac est estimée à 16 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS Rennes : 1
	- Ecole centrale de Lyon : 1
	- Ecole centrale de Lille : 1
	- IMT Atlantique : 2
	- Phelma : 2
	- Arts et Métiers : 2
	- Ensta Bretagne : 1
	- Centrale Méditerranée : 2
	- ESM Saint-Cyr : 1"
50,Fénelon,Paris 6e,"11,5",MP,"Cet établissement public a présenté 92 candidats en MP en 2023. Leur moyenne au bac est estimée à 16 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- CentraleSupélec : 2
	- Ponts ParisTech : 2
	- Télécom Paris : 1
	- Centrale Nantes : 4
	- IMT Atlantique : 1
	- Mines Saint-Etienne (via concours Mines-Ponts) : 2
	- Ensimag : 3
	- Phelma : 1
	- Enseeiht : 1
	- Télécom SudParis : 3
	- ESTP : 2
	- Ensta Bretagne : 2
	- Centrale Méditerranée : 1"
51,Alphonse Daudet,Nîmes,"11,4",MP,"Cet établissement public a présenté 39 candidats en MP en 2023. Leur moyenne au bac est estimée à 16,3 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Télécom Paris : 1
	- Centrale Nantes : 1
	- Enac : 1
	- Ensimag : 1
	- Enseeiht : 1
	- Ensta Bretagne : 2
	- Centrale Méditerranée : 4"
51,Carnot,Dijon,"11,4",MP,"Cet établissement public a présenté 75 candidats en MP en 2023. Leur moyenne au bac est estimée à 16,4 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS Paris-Saclay : 1
	- CentraleSupélec : 1
	- Ecole centrale de Lyon : 2
	- Isae-Supaero : 3
	- Ensae : 1
	- Centrale Nantes : 1
	- Mines Saint-Etienne (via concours Mines-Ponts) : 2
	- Enac : 1
	- Ensimag : 2
	- Phelma : 1
	- Arts et Métiers : 1
	- Centrale Méditerranée : 2"
53,François Rabelais,Saint-Brieuc,"11,3",MP,"Cet établissement public a présenté 11 candidats en MP en 2023. Leur moyenne au bac est estimée à 14,9 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Ponts ParisTech : 1
	- Phelma : 1"
53,Georges Clemenceau,Reims,"11,3",MP,"Cet établissement public a présenté 66 candidats en MP en 2023. Leur moyenne au bac est estimée à 16,3 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- CentraleSupélec : 2
	- Ponts ParisTech : 1
	- Ecole centrale de Lyon : 1
	- Centrale Nantes : 1
	- Ecole centrale de Lille : 2
	- Enac : 2
	- Enseeiht : 1
	- Télécom SudParis : 2
	- Arts et Métiers : 1
	- Ensta Bretagne : 1
	- Centrale Méditerranée : 1"
53,Lycée international de Valbonne,Sophia Antipolis,"11,3",MP,"Cet établissement public a présenté 39 candidats en MP en 2023. Leur moyenne au bac est estimée à 16,4 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Ensae : 1
	- Centrale Nantes : 1
	- Ecole centrale de Lille : 1
	- IMT Atlantique : 1
	- Enseeiht : 1
	- Télécom SudParis : 1
	- ESTP : 2
	- Centrale Méditerranée : 3"
56,Bellevue,Toulouse,"11,2",MP,"Cet établissement public a présenté 37 candidats en MP en 2023. Leur moyenne au bac est estimée à 17 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Ecole centrale de Lyon : 2
	- Centrale Nantes : 1
	- IMT Atlantique : 2
	- Mines Saint-Etienne (via concours Mines-Ponts) : 1
	- Enac : 1
	- Télécom SudParis : 1
	- Ensta Bretagne : 1"
56,François 1er,Le Havre,"11,2",MP,"Cet établissement public a présenté 23 candidats en MP en 2023. Leur moyenne au bac est estimée à 15,4 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- CentraleSupélec : 1
	- IMT Atlantique : 1
	- Ensimag : 1
	- Enseeiht : 1
	- ESTP : 1"
58,Albert Schweitzer,Le Raincy,"11,1",MP,"Cet établissement public a présenté 44 candidats en MP en 2023. Leur moyenne au bac est estimée à 15,9 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS Rennes : 1
	- Ponts ParisTech : 1
	- Ecole centrale de Lyon : 1
	- Ecole centrale de Lille : 1
	- Mines Nancy : 1
	- Enseeiht : 1
	- Télécom SudParis : 2"
58,François Arago,Perpignan,"11,1",MP,"Cet établissement public a présenté 22 candidats en MP en 2023. Leur moyenne au bac est estimée à 15,5 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- CentraleSupélec : 2
	- Télécom SudParis : 1"
58,Jean-Baptiste Corot,Savigny-sur-Orge,"11,1",MP,"Cet établissement public a présenté 33 candidats en MP en 2023. Leur moyenne au bac est estimée à 15,9 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Ecole centrale de Lyon : 1
	- IMT Atlantique : 1
	- Mines Nancy : 1
	- Enac : 1
	- Télécom SudParis : 2
	- Ensta Bretagne : 1
	- Centrale Méditerranée : 1"
58,La Fayette,Clermont-Ferrand,"11,1",MP,"Cet établissement public a présenté 17 candidats en MP en 2023. Leur moyenne au bac est estimée à 15,5 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Ponts ParisTech : 1
	- Ecole centrale de Lille : 1
	- Enac : 1"
58,Malherbe,Caen,"11,1",MP,"Cet établissement public a présenté 107 candidats en MP en 2023. Leur moyenne au bac est estimée à 16,3 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS de Lyon : 1
	- Ecole polytechnique : 1
	- CentraleSupélec : 3
	- Ensta Paris : 1
	- Ecole centrale de Lyon : 2
	- Ensae : 1
	- Centrale Nantes : 1
	- Ecole centrale de Lille : 2
	- Mines Nancy : 1
	- Ensimag : 2
	- Phelma : 1
	- Arts et Métiers : 1
	- Centrale Méditerranée : 1"
58,Vaugelas,Chambéry,"11,1",MP,"Cet établissement public a présenté 24 candidats en MP en 2023. Leur moyenne au bac est estimée à 15 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Ensimag : 2
	- Phelma : 3
	- ESTP : 1"
64,Henri Wallon,Valenciennes,11,MP,"Cet établissement public a présenté 64 candidats en MP en 2023. Leur moyenne au bac est estimée à 17,2 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- CentraleSupélec : 1
	- Centrale Nantes : 2
	- Ecole centrale de Lille : 1
	- IMT Atlantique : 2
	- Ensimag : 1
	- Phelma : 1
	- Enseeiht : 2
	- Télécom SudParis : 1
	- Centrale Méditerranée : 2
	- Ecole Navale : 1"
64,Jacques Amyot,Melun,11,MP,"Cet établissement public a présenté 36 candidats en MP en 2023. Leur moyenne au bac est estimée à 14,3 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Centrale Nantes : 1
	- Télécom SudParis : 1
	- ESTP : 4
	- Ensta Bretagne : 2"
64,La Pérouse - Kerichen,Brest,11,MP,"Cet établissement public a présenté 67 candidats en MP en 2023. Leur moyenne au bac est estimée à 15,9 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Mines Paris : 1
	- Ecole centrale de Lyon : 1
	- Centrale Nantes : 2
	- IMT Atlantique : 2
	- Ensimag : 1
	- Télécom SudParis : 1
	- Ensta Bretagne : 3
	- Centrale Méditerranée : 2"
64,La Salle Saint-Charles,Saint-Pierre,11,MP,"Cet établissement privé a présenté 40 candidats en MP en 2023. Leur moyenne au bac est estimée à 16,9 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Isae-Supaero : 2
	- Ecole centrale de Lille : 1
	- IMT Atlantique : 1
	- Enac : 1
	- Centrale Méditerranée : 3"
68,François 1er,Fontainebleau,"10,9",MP,"Cet établissement public a présenté 34 candidats en MP en 2023. Leur moyenne au bac est estimée à 16,5 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Centrale Nantes : 1
	- Ecole centrale de Lille : 1
	- Ensimag : 1
	- Arts et Métiers : 2
	- Ensta Bretagne : 1
	- Centrale Méditerranée : 1"
68,Paul Valéry,Paris 12e,"10,9",MP,"Cet établissement public a présenté 39 candidats en MP en 2023. Leur moyenne au bac est estimée à 14,4 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ESTP : 7
	- Centrale Méditerranée : 1"
68,Pierre d'Ailly,Compiègne,"10,9",MP,"Cet établissement public a présenté 26 candidats en MP en 2023. Leur moyenne au bac est estimée à 15,7 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Ponts ParisTech : 1
	- Télécom SudParis : 1
	- ESTP : 1
	- Ecole Navale : 1"
71,Camille Guérin,Poitiers,"10,8",MP,"Cet établissement public a présenté 78 candidats en MP en 2023. Leur moyenne au bac est estimée à 15,7 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Isae-Supaero : 2
	- IMT Atlantique : 3
	- Enac : 2
	- Ensimag : 1
	- Enseeiht : 1
	- Arts et Métiers : 1
	- ESTP : 1
	- Ensta Bretagne : 1
	- Centrale Méditerranée : 2"
71,Jean Dautet,La Rochelle,"10,8",MP,"Cet établissement public a présenté 32 candidats en MP en 2023. Leur moyenne au bac est estimée à 14,4 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS Rennes : 1
	- Phelma : 1
	- Enseeiht : 1
	- ESTP : 1
	- Ecole de l'Air et de l'Espace : 1"
71,Jean Perrin,Lyon 9e,"10,8",MP,"Cet établissement public a présenté 22 candidats en MP en 2023. Leur moyenne au bac est estimée à 15,8 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Centrale Nantes : 1
	- Enac : 1
	- Arts et Métiers : 1
	- Centrale Méditerranée : 1"
71,Montesquieu,Le Mans,"10,8",MP,"Cet établissement public a présenté 22 candidats en MP en 2023. Leur moyenne au bac est estimée à 15,2 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ESTP : 3
	- Centrale Méditerranée : 1"
75,Alain-René Lesage,Vannes,"10,7",MP,"Cet établissement public a présenté 49 candidats en MP en 2023. Leur moyenne au bac est estimée à 15,6 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Centrale Nantes : 1
	- Ecole centrale de Lille : 1
	- Enac : 2
	- Enseeiht : 1
	- ESTP : 2
	- Ensta Bretagne : 1"
75,Ferdinand Foch,Rodez,"10,7",MP,"Cet établissement public a présenté 23 candidats en MP en 2023. Leur moyenne au bac est estimée à 15,5 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Ecole centrale de Lyon : 1
	- Centrale Nantes : 1
	- Ecole centrale de Lille : 1"
75,Louis Barthou,Pau,"10,7",MP,"Cet établissement public a présenté 25 candidats en MP en 2023. Leur moyenne au bac est estimée à 15,5 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Ecole centrale de Lille : 1
	- Phelma : 1
	- Enseeiht : 2"
78,Baimbridge,Les Abymes,"10,6",MP,"Cet établissement public a présenté 21 candidats en MP en 2023. Leur moyenne au bac est estimée à 15,7 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Ensimag : 1
	- ESTP : 1
	- Centrale Méditerranée : 1"
78,Louis Thuillier,Amiens,"10,6",MP,"Cet établissement public a présenté 35 candidats en MP en 2023. Leur moyenne au bac est estimée à 15,8 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Ensta Paris : 1
	- Centrale Nantes : 1
	- Télécom SudParis : 1
	- Ecole Navale : 1"
78,Notre-Dame de la Merci,Montpellier,"10,6",MP,"Cet établissement privé a présenté 28 candidats en MP en 2023. Leur moyenne au bac est estimée à 15,3 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Enseeiht : 4"
78,Pothier,Orléans,"10,6",MP,"Cet établissement public a présenté 107 candidats en MP en 2023. Leur moyenne au bac est estimée à 15,5 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Isae-Supaero : 1
	- Mines Nancy : 1
	- Ensimag : 1
	- Enseeiht : 1
	- Télécom SudParis : 1
	- Arts et Métiers : 1
	- ESTP : 5
	- Ensta Bretagne : 1
	- Centrale Méditerranée : 3"
82,Camille Pissarro,Pontoise,"10,5",MP,"Cet établissement public a présenté 28 candidats en MP en 2023. Leur moyenne au bac est estimée à 14,3 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Enac : 1
	- ESTP : 2"
82,Chrestien de Troyes,Troyes,"10,5",MP,"Cet établissement public a présenté 34 candidats en MP en 2023. Leur moyenne au bac est estimée à 14,7 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Phelma : 1
	- Télécom SudParis : 1
	- Ensta Bretagne : 1
	- Ecole Navale : 1"
82,Dupuy de Lôme,Lorient,"10,5",MP,"Cet établissement public a présenté 25 candidats en MP en 2023. Leur moyenne au bac est estimée à 15,6 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Ensimag : 1
	- Centrale Méditerranée : 1
	- Ecole de l'Air et de l'Espace : 1"
82,Godefroy de Bouillon,Clermont-Ferrand,"10,5",MP,"Cet établissement privé a présenté 28 candidats en MP en 2023. Leur moyenne au bac est estimée à 13,8 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Mines Nancy : 1
	- ESTP : 2"
82,Philibert Dessaignes,Blois,"10,5",MP,"Cet établissement public a présenté 18 candidats en MP en 2023. Leur moyenne au bac est estimée à 14,4 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Phelma : 2"
82,Saint-Rémi,Roubaix,"10,5",MP,"Cet établissement privé a présenté 28 candidats en MP en 2023. Leur moyenne au bac est estimée à 14 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Enseeiht : 1
	- Télécom SudParis : 1
	- ESTP : 1"
88,Emmanuel d'Alzon,Nîmes,"10,4",MP,"Cet établissement privé a présenté 43 candidats en MP en 2023. Leur moyenne au bac est estimée à 13,5 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Enac : 1
	- Enseeiht : 1
	- ESTP : 2"
88,Gustave Monod,Enghien-les-Bains,"10,4",MP,"Cet établissement public a présenté 20 candidats en MP en 2023. Leur moyenne au bac est estimée à 15,6 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Ecole centrale de Lille : 2"
88,Robespierre,Arras,"10,4",MP,"Cet établissement public a présenté 40 candidats en MP en 2023. Leur moyenne au bac est estimée à 15,7 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Ensta Paris : 1
	- Ensimag : 2"
91,Albert Schweitzer,Mulhouse,"10,3",MP,"Cet établissement public a présenté 50 candidats en MP en 2023. Leur moyenne au bac est estimée à 14,7 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Télécom SudParis : 2
	- ESTP : 2"
91,Bellevue,Fort-de-France,"10,3",MP,"Cet établissement public a présenté 15 candidats en MP en 2023. Leur moyenne au bac est estimée à 14,7 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ESTP : 1"
91,Claude Bernard,Paris 16e,"10,3",MP,"Cet établissement public a présenté 32 candidats en MP en 2023. Leur moyenne au bac est estimée à 14,5 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ESTP : 2"
91,Jacques Decour,Paris 9e,"10,3",MP,"Cet établissement public a présenté 27 candidats en MP en 2023. Leur moyenne au bac est estimée à 15,3 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Ecole centrale de Lille : 1
	- Arts et Métiers : 1"
91,Jean Bart,Dunkerque,"10,3",MP,"Cet établissement public a présenté 16 candidats en MP en 2023. Leur moyenne au bac est estimée à 15,3 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Télécom SudParis : 1"
91,Jean Moulin,Forbach,"10,3",MP,"Cet établissement public a présenté 14 candidats en MP en 2023. Leur moyenne au bac est estimée à 14,8 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Télécom SudParis : 1"
91,Lalande,Bourg-en-Bresse,"10,3",MP,"Cet établissement public a présenté 30 candidats en MP en 2023. Leur moyenne au bac est estimée à 14,2 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Enseeiht : 1
	- ESTP : 1"
91,Marceau,Chartres,"10,3",MP,"Cet établissement public a présenté 39 candidats en MP en 2023. Leur moyenne au bac est estimée à 14,6 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Ensta Bretagne : 3"
91,Notre-Dame de Sion,Marseille 6e,"10,3",MP,"Cet établissement privé a présenté 46 candidats en MP en 2023. Leur moyenne au bac est estimée à 14,4 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Ensimag : 2
	- ESTP : 1"
91,Pierre-Gilles de Gennes,Paris 13e,"10,3",MP,"Cet établissement public a présenté 43 candidats en MP en 2023. Leur moyenne au bac est estimée à 14,8 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Télécom SudParis : 1
	- ESTP : 2"
91,Sainte-Croix Saint-Euverte,Orléans,"10,3",MP,"Cet établissement privé a présenté 17 candidats en MP en 2023. Leur moyenne au bac est estimée à 12,5 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Phelma : 1"
91,Sainte-Marie Grand Lebrun,Bordeaux,"10,3",MP,"Cet établissement privé a présenté 43 candidats en MP en 2023. Leur moyenne au bac est estimée à 14,8 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- IMT Atlantique : 1
	- ESTP : 2"
103,Albert Châtelet,Douai,"10,2",MP,"Cet établissement public a présenté 37 candidats en MP en 2023. Leur moyenne au bac est estimée à 16,5 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Enseeiht : 1
	- Centrale Méditerranée : 1"
103,Camille Vernet,Valence,"10,2",MP,"Cet établissement public a présenté 19 candidats en MP en 2023. Leur moyenne au bac est estimée à 15,1 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Télécom SudParis : 1"
103,Leconte de Lisle,Saint-Denis,"10,2",MP,"Cet établissement public a présenté 19 candidats en MP en 2023. Leur moyenne au bac est estimée à 16,4 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ESTP : 1"
103,Notre-Dame de Grâce,Maubeuge,"10,2",MP,"Cet établissement privé a présenté 27 candidats en MP en 2023. Leur moyenne au bac est estimée à 13,6 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Télécom SudParis : 1"
107,Alain Fournier,Bourges,"10,1",MP,"Cet établissement public a présenté 29 candidats en MP en 2023. Leur moyenne au bac est estimée à 14 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Ensimag : 1"
107,Dumont d'Urville,Toulon,"10,1",MP,"Cet établissement public a présenté 31 candidats en MP en 2023. Leur moyenne au bac est estimée à 14,8 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ESTP : 1"
109,Claude Gellée,Epinal,10,MP,"Cet établissement public a présenté 20 candidats en MP en 2023. Leur moyenne au bac est estimée à 14,9 sur 20."
109,La Salle,Lille,10,MP,"Cet établissement privé a présenté 89 candidats en MP en 2023. Leur moyenne au bac est estimée à 14,3 sur 20."
109,Les Chartreux,Lyon 1er,10,MP,Cet établissement privé a présenté 44 candidats en MP en 2023.
109,Mariette,Boulogne-sur-Mer,10,MP,"Cet établissement public a présenté 25 candidats en MP en 2023. Leur moyenne au bac est estimée à 14,6 sur 20."
109,Parc des Loges,Evry,10,MP,"Cet établissement public a présenté 18 candidats en MP en 2023. Leur moyenne au bac est estimée à 14,1 sur 20."
109,Saint-Exupéry,Mantes-la-Jolie,10,MP,Cet établissement public a présenté 32 candidats en MP en 2023. Leur moyenne au bac est estimée à 13 sur 20.
109,Saint-François d'Assise,La Roche-sur-Yon,10,MP,"Cet établissement privé a présenté 24 candidats en MP en 2023. Leur moyenne au bac est estimée à 14,8 sur 20."
109,Sainte-Anne,Brest,10,MP,Cet établissement privé a présenté 19 candidats en MP en 2023. Leur moyenne au bac est estimée à 14 sur 20.
1,Aux Lazaristes,Lyon 5e,20,MPI,"Cet établissement privé a présenté 13 candidats en MPI en 2023. Leur moyenne au bac est estimée à 18,5 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS Paris-Saclay : 1
	- Ecole polytechnique : 4
	- CentraleSupélec : 1
	- Télécom Paris : 6
	- Ensimag : 1"
2,Louis Le Grand,Paris 5e,"18,9",MPI,"Cet établissement public a présenté 39 candidats en MPI en 2023. Leur moyenne au bac est estimée à 18,1 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS Ulm : 6
	- ENS de Lyon : 4
	- ENS Rennes : 1
	- Ecole polytechnique : 10
	- CentraleSupélec : 6
	- Ponts ParisTech : 2
	- Ensta Paris : 1
	- Ecole centrale de Lyon : 1
	- Centrale Nantes : 1"
3,Pierre de Fermat,Toulouse,"14,8",MPI,"Cet établissement public a présenté 37 candidats en MPI en 2023. Leur moyenne au bac est estimée à 17,9 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS Paris-Saclay : 3
	- CentraleSupélec : 3
	- Télécom Paris : 4
	- Ecole centrale de Lyon : 1
	- Isae-Supaero : 3
	- Ensae : 1
	- Ecole centrale de Lille : 1
	- IMT Atlantique : 2
	- Mines Saint-Etienne (via concours Mines-Ponts) : 3
	- Enac : 1
	- Ensimag : 3
	- Enseeiht : 3"
4,Saint-Louis,Paris 6e,"14,3",MPI,"Cet établissement public a présenté 46 candidats en MPI en 2023. Leur moyenne au bac est estimée à 17,5 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS Paris-Saclay : 2
	- ENS Rennes : 1
	- Ecole polytechnique : 3
	- Mines Paris : 1
	- CentraleSupélec : 1
	- Télécom Paris : 4
	- Ensta Paris : 1
	- Ecole centrale de Lyon : 1
	- Ensae : 1
	- IMT Atlantique : 4
	- Mines Nancy : 2
	- Mines Saint-Etienne (via concours Mines-Ponts) : 1
	- Ensimag : 3
	- Enseeiht : 3
	- Télécom SudParis : 1"
5,Le Parc,Lyon 6e,"14,2",MPI,"Cet établissement public a présenté 43 candidats en MPI en 2023. Leur moyenne au bac est estimée à 18,1 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS Ulm : 1
	- ENS de Lyon : 3
	- Ecole polytechnique : 2
	- Mines Paris : 1
	- Télécom Paris : 5
	- Ensta Paris : 2
	- Ecole centrale de Lyon : 1
	- Ensae : 2
	- IMT Atlantique : 1
	- Mines Nancy : 1
	- Enseeiht : 1
	- Télécom SudParis : 1
	- Ensta Bretagne : 2"
6,Descartes,Tours,"13,1",MPI,"Cet établissement public a présenté 35 candidats en MPI en 2023. Leur moyenne au bac est estimée à 16,6 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS de Lyon : 1
	- Ecole polytechnique : 1
	- CentraleSupélec : 4
	- Télécom Paris : 1
	- Isae-Supaero : 1
	- Ensae : 1
	- Centrale Nantes : 1
	- Ecole centrale de Lille : 2
	- IMT Atlantique : 1
	- Ensimag : 1
	- Télécom SudParis : 2"
7,Thiers,Marseille 1er,13,MPI,"Cet établissement public a présenté 36 candidats en MPI en 2023. Leur moyenne au bac est estimée à 16,4 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS Rennes : 1
	- CentraleSupélec : 2
	- Ponts ParisTech : 1
	- Télécom Paris : 1
	- Ensta Paris : 1
	- Isae-Supaero : 2
	- Ensimag : 6
	- Phelma : 1
	- Télécom SudParis : 1
	- Ensta Bretagne : 1
	- Centrale Méditerranée : 2"
8,Fénelon Sainte-Marie,Paris 8e,"12,6",MPI,"Cet établissement privé a présenté 27 candidats en MPI en 2023. Leur moyenne au bac est estimée à 15,8 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS de Lyon : 1
	- ENS Rennes : 1
	- CentraleSupélec : 2
	- Ecole centrale de Lyon : 2
	- Isae-Supaero : 1
	- Ensae : 1
	- Ensimag : 2"
9,Montaigne,Bordeaux,"12,4",MPI,"Cet établissement public a présenté 36 candidats en MPI en 2023. Leur moyenne au bac est estimée à 16,7 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- CentraleSupélec : 1
	- Télécom Paris : 2
	- Ensta Paris : 1
	- Isae-Supaero : 1
	- IMT Atlantique : 1
	- Mines Nancy : 2
	- Ensimag : 4
	- Phelma : 3
	- Enseeiht : 1
	- Ensta Bretagne : 1"
10,Champollion,Grenoble,"12,1",MPI,"Cet établissement public a présenté 37 candidats en MPI en 2023. Leur moyenne au bac est estimée à 16,4 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS de Lyon : 1
	- CentraleSupélec : 1
	- Ecole centrale de Lyon : 1
	- Ensae : 1
	- IMT Atlantique : 1
	- Enac : 1
	- Ensimag : 5
	- Phelma : 1
	- Enseeiht : 2
	- Télécom SudParis : 1
	- Ensta Bretagne : 1"
11,Clemenceau,Nantes,"11,8",MPI,"Cet établissement public a présenté 41 candidats en MPI en 2023. Leur moyenne au bac est estimée à 17,3 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Ponts ParisTech : 1
	- Télécom Paris : 2
	- Ecole centrale de Lyon : 1
	- Isae-Supaero : 1
	- Centrale Nantes : 1
	- IMT Atlantique : 3
	- Mines Saint-Etienne (via concours Mines-Ponts) : 1
	- Télécom SudParis : 1
	- Centrale Méditerranée : 2"
12,Faidherbe,Lille,"11,6",MPI,"Cet établissement public a présenté 40 candidats en MPI en 2023. Leur moyenne au bac est estimée à 17,4 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Ecole polytechnique : 1
	- Télécom Paris : 2
	- Ecole centrale de Lille : 1
	- Mines Saint-Etienne (via concours Mines-Ponts) : 2
	- Enac : 3
	- Ensimag : 1
	- Ensta Bretagne : 1"
12,Janson de Sailly,Paris 16e,"11,6",MPI,"Cet établissement public a présenté 38 candidats en MPI en 2023. Leur moyenne au bac est estimée à 16,6 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- CentraleSupélec : 1
	- Ensta Paris : 1
	- Ecole centrale de Lyon : 3
	- Ensae : 1
	- Ensimag : 1
	- Enseeiht : 2
	- Télécom SudParis : 1
	- Centrale Méditerranée : 1"
12,Kléber,Strasbourg,"11,6",MPI,"Cet établissement public a présenté 38 candidats en MPI en 2023. Leur moyenne au bac est estimée à 16,3 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS de Lyon : 1
	- CentraleSupélec : 1
	- Ponts ParisTech : 1
	- Ecole centrale de Lyon : 1
	- Centrale Nantes : 1
	- Mines Nancy : 1
	- Mines Saint-Etienne (via concours Mines-Ponts) : 1
	- Ensimag : 3
	- Centrale Méditerranée : 1"
15,Lycée international de Valbonne,Sophia Antipolis,"11,4",MPI,"Cet établissement public a présenté 30 candidats en MPI en 2023. Leur moyenne au bac est estimée à 15,6 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS Rennes : 1
	- CentraleSupélec : 1
	- Télécom Paris : 1
	- Isae-Supaero : 1
	- Ensimag : 1
	- Télécom SudParis : 1"
16,Claude Fauriel,Saint-Etienne,"11,3",MPI,"Cet établissement public a présenté 37 candidats en MPI en 2023. Leur moyenne au bac est estimée à 15,3 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- CentraleSupélec : 1
	- Télécom Paris : 1
	- Ecole centrale de Lyon : 1
	- Ecole centrale de Lille : 1
	- IMT Atlantique : 1
	- Mines Nancy : 1
	- Enseeiht : 3"
