Rang,Etablissement,Commune,Note,Filière,Texte
37,Assomption Bellevue,La Mulatière,"12,3",BCPST,"{'AgroParisTech': 2, 'Ensat': 2, 'Institut Agro Dijon': 3, 'Institut Agro Montpellier': 2, 'Institut Agro Rennes-Angers': 3, 'Oniris': 1, 'VetAgro Sup': 3}"
37,Georges de la Tour,Metz,"12,3",BCPST,"{'AgroParisTech': 3, 'Ensaia': 1, 'Institut Agro Dijon': 6, 'Oniris': 2, 'VetAgro Sup': 1, 'ENV Toulouse': 1}"
39,Blaise Pascal,Clermont-Ferrand,"12,2",BCPST,"{'ENS de Lyon': 1, 'AgroParisTech': 2, 'Bordeaux Sciences Agro': 3, 'Ensaia': 1, 'Institut Agro Montpellier': 4, 'Institut Agro Rennes-Angers': 1, 'Oniris': 1, 'VetAgro Sup': 2}"
39,Chaptal,Paris 8e,"12,2",BCPST,"{'AgroParisTech': 6, 'Bordeaux Sciences Agro': 5, 'Ensaia': 4, 'Ensat': 1, 'Institut Agro Dijon': 2, 'Institut Agro Montpellier': 4, 'Institut Agro Rennes-Angers': 7, 'Oniris': 2, 'ENV Toulouse': 1}"
39,Louis Barthou,Pau,"12,2",BCPST,"{'AgroParisTech': 1, 'Bordeaux Sciences Agro': 2, 'Ensaia': 2, 'Ensat': 2, 'Institut Agro Montpellier': 2, 'Institut Agro Rennes-Angers': 1, 'Oniris': 3, 'ENV Toulouse': 2}"
39,Léonard Limosin,Limoges,"12,2",BCPST,"{'ENS Ulm': 1, 'ENS de Lyon': 1, 'AgroParisTech': 1, 'Bordeaux Sciences Agro': 3, 'Ensat': 3, 'Oniris': 1}"
43,Pothier,Orléans,12,BCPST,"{'Bordeaux Sciences Agro': 2, 'Ensaia': 3, 'Ensat': 1, 'Institut Agro Dijon': 1, 'Institut Agro Montpellier': 1, 'Institut Agro Rennes-Angers': 2, 'ENV Alfort': 1}"
44,La Martinière Monplaisir,Lyon 8e,"11,9",BCPST,"{'AgroParisTech': 1, 'Institut Agro Dijon': 2, 'Institut Agro Rennes-Angers': 1, 'Oniris': 1, 'VetAgro Sup': 3, 'ENV Toulouse': 1}"
44,Roland Garros,Le Tampon,"11,9",BCPST,"{'ENS Ulm': 1, 'CentraleSupélec': 2, 'Ensaia': 1, 'Ensat': 2, 'Institut Agro Dijon': 2, 'Institut Agro Rennes-Angers': 1, 'ENV Alfort': 1}"
46,Le Chesnoy,Amilly,"11,7",BCPST,"{'Institut Agro Dijon': 6, 'Institut Agro Rennes-Angers': 3, 'VetAgro Sup': 4}"
46,Louis Thuillier,Amiens,"11,7",BCPST,"{'AgroParisTech': 2, 'Bordeaux Sciences Agro': 8, 'Ensat': 1, 'Institut Agro Dijon': 8, 'Institut Agro Rennes-Angers': 8, 'Oniris': 3, 'VetAgro Sup': 2, 'ENV Alfort': 1, 'ENV Toulouse': 1}"
48,Albert Schweitzer,Le Raincy,"11,6",BCPST,"{'Bordeaux Sciences Agro': 1, 'Ensaia': 3, 'Institut Agro Montpellier': 1, 'Oniris': 2}"
48,Camille Guérin,Poitiers,"11,6",BCPST,"{'Bordeaux Sciences Agro': 3, 'Ensaia': 1, 'Ensat': 6, 'Institut Agro Dijon': 1, 'Institut Agro Montpellier': 4, 'Institut Agro Rennes-Angers': 4, 'Oniris': 4, 'VetAgro Sup': 5}"
50,Robespierre,Arras,"11,5",BCPST,"{'Bordeaux Sciences Agro': 2, 'Ensaia': 1, 'Institut Agro Rennes-Angers': 3, 'VetAgro Sup': 1, 'ENV Alfort': 1, 'ENV Toulouse': 1}"
51,Emmanuel d'Alzon,Nîmes,"10,9",BCPST,"{'CentraleSupélec': 1, 'AgroParisTech': 1, 'Institut Agro Montpellier': 1, 'Institut Agro Rennes-Angers': 1, 'VetAgro Sup': 1}"
52,Chavagnes,Nantes,"10,4",BCPST,"{'Bordeaux Sciences Agro': 1, 'Ensaia': 1, 'Institut Agro Rennes-Angers': 1, 'VetAgro Sup': 1}"
53,Baimbridge,Les Abymes,"10,2",BCPST,{'Ensat': 1}
53,Paulette Nardal,Ducos,"10,2",BCPST,{'Ensat': 1}
1,Sainte-Geneviève,Versailles,20,ECG,"{'HEC': 43, 'Essec': 19, 'ESCP': 7, 'Edhec': 6, 'EM Lyon': 2, 'Skema': 2, 'Neoma': 1, 'Ensae': 1}"
2,Madeleine Daniélou,Rueil-Malmaison,"19,7",ECG,"{'HEC': 21, 'Essec': 5, 'ESCP': 4, 'Edhec': 4, 'EM Lyon': 3, 'Skema': 3}"
3,Louis Le Grand,Paris 5e,"19,6",ECG,"{'HEC': 20, 'Essec': 9, 'ESCP': 5, 'EM Lyon': 7, 'Skema': 1, 'Neoma': 1}"
4,Notre-Dame du Grandchamp,Versailles,"19,4",ECG,"{'HEC': 45, 'Essec': 26, 'ESCP': 17, 'Edhec': 10, 'EM Lyon': 9, 'Skema': 6, 'Audencia': 2, 'Neoma': 1, 'Kedge': 1}"
5,Henri IV,Paris 5e,"19,2",ECG,"{'HEC': 27, 'Essec': 18, 'ESCP': 14, 'Edhec': 7, 'EM Lyon': 13, 'Skema': 1}"
6,Stanislas,Paris 6e,19,ECG,"{'HEC': 22, 'Essec': 20, 'ESCP': 12, 'Edhec': 12, 'EM Lyon': 4, 'Skema': 3, 'Neoma': 1, 'Rennes SB': 1, 'Ensae': 1}"
7,Sainte-Marie,Lyon 5e,"18,9",ECG,"{'HEC': 17, 'Essec': 17, 'ESCP': 7, 'Edhec': 7, 'EM Lyon': 11, 'Skema': 1, 'Audencia': 1}"
8,Saint-Louis de Gonzague,Paris 16e,"17,7",ECG,"{'HEC': 17, 'Essec': 9, 'ESCP': 12, 'Edhec': 10, 'EM Lyon': 6, 'Skema': 12, 'Audencia': 2, 'Kedge': 2, 'ESM Saint-Cyr': 1}"
9,Lakanal,Sceaux,"17,3",ECG,"{'HEC': 7, 'Essec': 7, 'ESCP': 6, 'Edhec': 6, 'EM Lyon': 5, 'Skema': 2, 'Audencia': 3, 'Neoma': 4, 'Grenoble EM': 2}"
10,Hoche,Versailles,"16,9",ECG,"{'HEC': 13, 'Essec': 7, 'ESCP': 17, 'Edhec': 10, 'EM Lyon': 5, 'Skema': 6, 'Audencia': 1, 'Neoma': 11, 'Grenoble EM': 1}"
10,Notre-Dame de Sainte-Croix,Neuilly-sur-Seine,"16,9",ECG,"{'HEC': 8, 'Essec': 12, 'ESCP': 3, 'Edhec': 13, 'EM Lyon': 9, 'Skema': 5, 'Audencia': 3, 'Neoma': 5, 'ENS Paris-Saclay': 1}"
12,La Prépa Autrement - Cours Schloesing,Paris 16e,"16,8",ECG,"{'HEC': 2, 'Essec': 13, 'ESCP': 12, 'Edhec': 13, 'EM Lyon': 15, 'Skema': 4, 'Audencia': 8, 'Neoma': 5, 'Grenoble EM': 1, 'Kedge': 1, 'TBS Education': 1}"
13,Saint-Louis,Paris 6e,"16,7",ECG,"{'HEC': 7, 'Essec': 11, 'ESCP': 4, 'Edhec': 4, 'EM Lyon': 5, 'Skema': 4, 'Neoma': 1, 'Grenoble EM': 2, 'Kedge': 1}"
14,Janson de Sailly,Paris 16e,"16,6",ECG,"{'HEC': 13, 'Essec': 15, 'ESCP': 17, 'Edhec': 13, 'EM Lyon': 20, 'Skema': 9, 'Audencia': 7, 'Neoma': 5, 'Grenoble EM': 2, 'Kedge': 1, 'TBS Education': 3, 'Burgundy SB': 1, 'Ensae': 1}"
15,WeiD,Paris 6e,"16,4",ECG,"{'Essec': 3, 'ESCP': 1, 'Edhec': 2, 'EM Lyon': 3, 'Audencia': 2, 'Kedge': 1}"
16,Le Parc,Lyon 6e,"16,2",ECG,"{'HEC': 8, 'Essec': 11, 'ESCP': 9, 'Edhec': 8, 'EM Lyon': 10, 'Skema': 12, 'Audencia': 3, 'Neoma': 3, 'Grenoble EM': 8, 'Kedge': 3, 'TBS Education': 1, 'ICN': 1, 'Ensae': 2}"
16,Les Chartreux,Lyon 1er,"16,2",ECG,"{'HEC': 5, 'Essec': 8, 'ESCP': 8, 'Edhec': 8, 'EM Lyon': 9, 'Skema': 15, 'Audencia': 1, 'Neoma': 4, 'Grenoble EM': 3}"
